Arabic Name,English Name
الجونال,ALGONAL
انجيلات,Angilat 10 Tablets
اسبرين,ASPIRIN
انجيلات 20,Angilat 20
اسبرين الاطفال,ASPIRIN CHILDREN 100mg
اسبرين,ASPIRIN ADULT TAB 300MG
الكا-زلتسر,ALKA-SELTZER
الأسبرين,ASPIRIN EFFERVESCENT WITH VITAMIN C
ادبرين,ADIPRIN 100MG E.C.TAB
ادالات,ADALAT 60MG LA TAB
ادالات,ADALAT RETARD 20MG TABS
افالوكس,AVALOX 400MG SOLUTION FOR I.V. INFUSION
افيلوكس,AVALOX 400MG TAB
اندوسيد,INDOCID 100MG SUPPOSITORIES
الدوميت,ALDOMET 250MG TABLETS
اوبرازول,OPRAZOLE 20MG E.C.TAB
الوجيل,ALUGEL SUSP
اندومين كبسولات,INDOMIN CAP 25MG
امبوجان,IMPUGAN 10MG-ML INJ 2ML AMP
اليزول,ELYZOL VAG.PESSARIES 500MG
اليزول,ELYZOL INFUSION 5MG-ML
اروماسين,AROMASIN 25MG COATED TAB
اليزول,ELYZOL SUPP 500MG
اوفتالمولوزا,OFTALMOLOSA 0.5%
اوفتالمولوزا,OFTHALMOLOSA CUSI CHLORAMPHEN.OINT 1%
ايمبوجان,IMPUGAN TABLETS 40 MG
الكونسيرتا,CONCERTA EXTENDED RELEASE 36MG TABLET
ارانسب,ARANESP 100MCG-0.5ML PRE-FILLED SYRINGE
ارانيسب,ARANESP 10MCG-0.4ML PRE-FILLED SYRINGE
الارانسب,ARANESP 150MCG-0.3ML PRE-FILLED SYRINGE
الارانيسب,ARANESP 15MCG-0.375ML PRE-FILLED SYRINGE
ارانسب,ARANESP 20MCG-0.5ML PRE-FILLED SYRINGE
ارانيسب,ARANESP 300MCG-0.6ML PRE-FILLED SYRINGE
ارانسب 30MCG,ARANESP 30MCG-0.3ML PRE-FILLED SYRINGE
ارانيسب 60MCG,ARANESP 60MCG-0.3ML PRE-FILLED SYRINGE
ارانسب,ARANESP 80MCG-0.4ML PRE-FILLED SYRINGE
اوتوزول,OTOZOL 1% EAR DROP
ابيفرين,APIFRIN-Z EYE DROP
ابيلرج,APILLERG EYE DROPS
ادريبلاستينا,ADRIBLASTINA 10MG VIAL & SOLV
ادريبلاستين,ADRIBLASTINA 50MG VIAL & SOLV
ايمافير,IMAVIR 5% CREAM
ابيزولين,APIZOLIN 0.1% EYE DROP
اوبتيسيكلن,OPTICYCLIN 1 % OINTMENT
ابيكورت,APICORT 0.12% EYE DROPS
ابيفلوكس,APIFLOX 0.3% EYE DROPS
ابيهيست,APIHIST EYE\NOSE DROP
ابيمول,APIMOL 0.25% EYE DROPS
الديكاببتيل,DECAPEPTYL 0.1MG S.C. INJECTION
ابيسولفا,APISULFA 20% EYE DROPS
ابيكاربين,APICARPINE 2% EYE DROPS
ابيكاربين,APICARPINE 4% EYE DROPS
ايلوكس,EYLOX 0.3% EYE DROPS
ابيكورت فورت,APICORT FORTE 10MG-ML EYE SUSP.
ادرينالين,ADRENALINE 1:1000 INJ
اموكلان 1.2,AMOCLAN 1.2 GM VIAL
اموكلان,AMOCLAN 600MG VIAL
امينوفيللـــــين,AMINOPHYLLINE 250 Mg INJECTION
اموكلان,AMOCLAN 156MG-5ML SUSP
اموكلان,AMOCLAN 228MG\5ML SUSP
اموكلان,AMOCLAN 457MG\5ML SUSP
انتاغونين,ANTAGONIN 150MG TAB
اوبرازول,OPRAZOLE 40MG- VIAL I.VI INFUSION
التراسبورين,ULTRASPORIN CAP. 250 MG
اولتراسبورين,ULTRASPORIN FORTE CAP 500 MG
ايرثروميل,ERYTHROMIL FORTE 400MG-5MLSUSP.
التراسبورين,ULTRASPORIN 250MG-5ML FORTE SUSP.
اندومين,INDOMIN 100MG SUPP
ازماديل,ASMADIL SYRUP
اورفيك,ORVEK SYP 125MG-5ML
اورفيك,ORVEK-250 SYRUP(250MG-5ML)
انتاغونين,ANTAGONIN 300MG TAB
اموكلان 1,AMOCLAN 1 GM TAB
اموكلان اقراص,AMOCLAN 375 MG TAB
اموكلان فورت,AMOCLAN FORTE 625MG TAB
اسماديل,ASMADIL TABS 2MG
ارثروميل,ERYTHROMIL 250MG TAB
انديكاردين,INDICARDIN TAB 40MG
انديكاردين,INDICARDIN TAB. 10 MG.
ابو - رانتيدين,APO-RANITIDINE 150MG F.C.TAB.
ابو اميلزيد,APO-AMILZIDE
ايلوكساتين,ELOXATIN 100MG VIAL
الوكاستين,ELOXATIN 50MG VIAL
اندروجل,ANDROGEL 1% GEL
انتراغلوبين,INTRAGLOBIN 2.5G +50ML DILUENT
انتراجلوبين,INTRAGLOBIN 250MG
اينتراغلوبين,INTRAGLOBIN 500MG+DILUENT
انتراتيكت,INTRATECT 50MG-ML SOLUTION FOR INJECTION
الريتن أ,RETIN-A GEL 0.025%
ابريكس,EPREX 1000 U-0.5ML PREFILLED SYRING
ايبريكس,EPREX 10000 U -ML PREFILLED SYRING
ايبركس,EPREX 2000 U-0.5ML PREFILLED SYRING
ابريكس,EPREX 3000IU-0.3ML PREFILLED SYRINGE
الايبركس,EPREX 40000IU\ML PRE-FILLED SYRINGE
الابريكس,EPREX 4000IU-0.4ML PROFILLED SYRING
ايبركس 40000IU\ML,EPREX 40000IU\ML
الايبريكس,EPREX NEW STABILIZER 4000IU-ML VIAL
الفيرموكس,VERMOX SUSPN 2%
اتريفيكس,ETRIVEX 0.05% SHAMPOO
افودارت,AVODART 0.5MG CAPSULE
اندريول,ANDRIOL TESTOCAPS 40MG
الكايتريل,KYTRIL 3MG-3ML AMP
انفيجا,INVEGA 3MG EXTENDED- RELEASE TABLETS
انفيغا,INVEGA 6MG EXTENDED- RELEASE TABLETS
اينفيجا,INVEGA 9MG EXTENDED- RELEASE TABLETS
اوراب,ORAP FORTE TAB 4 MG
اكينيتون,AKINETON 5MG-ML AMP
اكينتون,AKINETON 2MG TAB
اكينتون,AKINETON RETD. 4MG TAB
ازوبت,AZOPT 1%
ايكونوبريد,ECONOPRED PLUS 1% OPHTHALMIC DROP
ايوبيدين,IOPIDINE 0.5% OPTH.SOLN.
ايسبوتو,ISOPTO CARPIN 2% EYE DROPS
انجيليك,ANGELIQ F-C TABLETS
امينوفيلين,AMINOPHYLLINE INJ 250MG
ابينفرين,EPINEPHRINE INJ 1:10000 ABBOJECT
ايريثروسين,ERYTHROCIN I.V. 500MG VIAL
ايروكسول,IRUXOL OINT
ايريثروسين اقراص,ERYTHROCIN PCE 333MG TAB
ايرثروسين,ERYTHROCIN TAB. 250 MG.
ايرثروسين 500,ERYTHROCIN TAB. 500MG.
اترين,ITRIN 2MG TAB
اترين اقراص,ITRIN 5MG TAB
اندروكور,ANDROCUR 50MG TAB.
املور,AMLOR 10MG CAPSULES
السينجولير,SINGULAIR PAEDIATRIC 4 MG CHEWABLE TAB
اكوليت,ACCOLATE 20 MG F.C.TAB
الكريستور,CRESTOR 20 MG FILM COATED TABLETS
اتوبوسيد ايبوي,ETOPOSID "EBEWE" 200MG VIAL
ايتوبوسيد ايبوي,ETOPOSID "EBEWE" 20MG-ML VIAL
الفياجرا,VIAGRA 25MG F.C TAB
ايتوبوسيد,ETOPOSID "EBEWE" 50 MG VIAL
اوكساليبلاتين,OXALIPLATIN 5 MG-ML VIAL
ايبيتاكسيل,EBETAXEL 6MG-ML SOLU. FOR I.V. INFUSION
الميثوتركسات,METHOTREXATE 2.5MG TAB
الاندرال,INDERAL AMPULES 1MG-ML
امبيراسين,IMPERACINE 250MG TAB
السوركويل,SEROQUEL 200 MG TAB
اليمتا,ALIMTA 500MG POWDER FOR SOLUTION FOR INFUSION
اندرال,INDERAL TABLETS 10 MG
اندرال,INDERAL TABLETS 40 MG
اندرال,INDERAL TABLETS 80 MG
ادياتين,ADIATIN TAB 200MG
الداكتون,ALDACTIDE-25 TAB
الداكتون,ALDACTONE TAB
اوس-كال,OS-CAL TAB 500MG
ايزورديل,ISORDIL SUBLINGUAL 5 MG. TAB.
اميجران,IMIGRAN 6MG-0.5ML AMP
اكتفيد,ACTIFED EXPECTORANT SYRUP
اكتيفيد,ACTIFED TAB
اندوبيولين,ENDOBULIN S\D 5% IV INFUSION
اكزاديرم,ECZADERM 0.1% W-W CREAM
اكزاديرام,ECZADERM 0.1% W-W OINTMENT
ايميجران,IMIGRAN
اسمافورت,ASMAFORT 1MG\5ML SYRUP
ادول,ADOL COLD 325MG-30MG-15MG CAPLET
ازومايسين,AZOMYCIN 250MG CAP.
اوراماكس,ORAMAX 150MG CAPSULES
الفاجان P,ALPHAGAN-P 0.15% OPHTHALMIC SOLUTION
اوفلوكس,OFLOX 0.3% EYE DROPS
اف ام ال,FML OPTH. SUSP 0.1%
التروكسين,ELTROXIN 0.05MG TAB
التروكسين,ELTROXIN 0.1MG TAB
افاميس,AVAMYS SUSPENSION FOR NASAL SPRAY
اتروبيولم,ATROPULM 500MCG-2ML SOLUTION FOR INHALATION
اتروبلم,ATROPULM 250MCG-ML SOLUTION FOR INHALATION
اتروفنت,ATROVENT 250MCG-2ML UDV (SOLUTION FOR INHALATION)
البوتوكس,BOTOX 100UNITS
ايبيفير اقراص,EPIVIR 150MG F.C TABLET
اميوران,IMURAN
اميلوك,EMILOK 20MG CAPSULES
ايموكين,IMUKIN 100MCG-0.5ML VIAL
اوكسيتتراسيكلين,OXYTETRACYCLINE OINT 3%
البيندا,ALBENDA 100MG\5ML SUSP
ازوميسين,AZOMYCIN 200MG\5ML SUSP.
ايميسيبرو,EMICIPRO 500MG F.C. TABLETS
اتروفينت,ATROVENT 0.02MG-METERED DOSE INHALER
اميمايسين,EMIMYCIN 250 MG TABLETS
اينوكسرت,ENOXIRT 0.25GM I.M VIAL
اينوكسرت,ENOXIRT 0.25GM I.V VIAL
البيندا 200 MG,ALBENDA 200 MG TAB
اميرون,AMIRONE 200MG TABLET
اقراص اسمافورت,ASMAFORT 1MGTAB
ابيكسا,EBIXA 10MG F.C. TABLETS
اقراص فلوناكسول,FLUANXOL 0.5MG TAB
اقراص سيفرول,SIFROL 0.18 MG (EQU.0.25MG) TAB
اقراص كلوبيكسول,CLOPIXOL TABS 25MG
اوكسيتين,OXETINE 20MG F.C. TABLETS
اوراجالين,ORAGALLIN COMP
انستينون,INSTENON AMP
اوميزين,OMEZYN 20MG CAPSULES
ايريسول,ERYSOL 2% TOPICAL LOTION
اكني توب,ACNE TOP 0.05% W-W CREAM
البونيفوس,BONEFOS 60MG-ML CONC.FOR PARE.INFUSION
اكنيلين,ACNELIN
اوماكور,OMACOR1000 MG SOFT GELATIN CAPSULES
ازومين,AZOMYNE 200MG\5ML POWDER FOR ORAL SUSP
ال -ثيروكس هيكسال,L- THYROX HEXAL 100MCG TABLETS
ال ثيروكس هيكسال,L- THYROX HEXAL 150MCG TABLETS
ال - ثيروكس,L- THYROX HEXAL 50MCG TABLETS
انزاتاكس,ANZATAX 6MG-ML VIAL
الميثوتريكسات,METHOTREXATE 25MG-1ML VIAL
البينسيلين,PENICILLIN G INJ 1 MILLION IU
البنسلين,PENICILLIN-G SOD 500000 IU VIAL
اميكاسين,"AMIKACIN 500MG-2ML INJ VIAL (I.V,IM)"
الدوباك,ELDOPAQUE 2% CREAM
الدوباك فورت,ELDOPAQUE FORTE 4% CREAM
الدوكين فورت,ELDOQUIN FORT 4% CREAM
ابيدرا,APIDRA 100 U- ML INJECTION CARTRIDGE
انترون اي,INTRON-A 10MN IU.VIAL
ايلوكوم,ELOCOM 0.1% OINTMENT
ادفانتان,ADVANTAN 0.1%SKIN CREAM
ادفانتان,ADVANTAN 0.1% SKIN OINTMENT
اكسوريم,XORIM 250MG POW. FOR SOLU. FOR I.V. INJ
انتيلينس,INTELENCE 100 MG TABLETS
الدوجماتيل,DOGMATIL SYP
اكسترال,XATRAL 2.5MG TAB
اكساترال,XATRAL 5MG S.R.TAB
ايفرا,EVRA TRANSDERMAL PATCHES
اكسيلون,EXELON 4.6MG-24H TRANSDERMAL PATCHES
ايكسيلون,EXELON 9.5MG-24H TRANSDERMAL PATCHES
ايموديوم,IMODIUM 2MG CAPSULE
اقراص ريلباكس,RELPAX 40MG TABLET
اجيوكيور,AGIOCUR GRANULES
اوبتيزولين,OPTIZOLIN OPTHALMIC SOLUTION
ازي ونس,AZI-ONCE
اوسيلتا,OSELTA 75MG CAPSULES
اكريتين,ACRETIN
اليكا ام,ELICA-M CREAM
اولوبات,OLOPAT 0.1% OPHTHALMIC SOLUTION
اوبتيكلور,OPTICHLOR 0.5% OPTHALMIC DROP
اوبتيفلوكس,OPTIFLOX OPTHALMIC SOLUTION
اوبتيديكس,OPTIDEX-T STERILE OPHTALMIC SUSP
اوبتيلون,OPTILONE 0.1% OPTHALMIC SUSPENTION
اوبتيبرد,OPTIPRED 1% OPTHALMIC SUSP.
استاتين,ASTATIN 20
اكنيزول,ACNEZOYL 2.5 % GEL
اليندرو,ALENDRO
اوميرال,OMERAL 10MG CAPSULES
ايفوريكس,EVOREX 20MG CAP
اتورفا,ATORVA 20MG F.C. TABLETS
اتورفا,ATORVA 80MG F.C. TABLETS
اوستيوماكس,OSTEOMAX 70 MG TABLETS
ابيكوجيل,EPICOGEL SUSPENSION
ابيلات,EPILAT 10MG CAPS
ابيكوسيللين,EPICOCILLIN VIAL 1G
ابيكوسيلين,EPICOCILLIN VIAL 500MG
اوكساليبلاتين ميداك,OXALIPLATIN MEDAC 100MG POWDER
اوكساليبلاتن,OXALIPLATIN MEDAC 150MG POWDER
اوكساليبلاتن ميداك,OXALIPLATIN MEDAC 50MG POWDER
افوكين,AVOQUIN
افورال,AVORAL
افوسين,AVOCIN
افلون افوكاين,AVALON AVOCAINE
ادولين,ADOLIN 0.1% W-W GEL
اتروبين سولفات,ATROPINE SULPHATE 0.5MG\ML AMPOULE
الترازول,ULTRAZOLE
اسيفير,ACIVIR
اوكساسين,OXACIN
ازيماك,AZIMAC
ايسوبيد,ISOBID
اكاروز,ACAROSE 100MG TABLETS
اكاروس,ACAROSE 25MG TABLETS
اكاروس اقراص,ACAROSE 50MG TABLETS
اويديماكس,OEDEMAX
اندوميثاسين,INDOMETHACIN CAPS 25MG
اوستيو ميفا,OSTEO- MEPHA 70MG F.C. TABLETS
ابوجيسيك,IBUGESIC
املودار,AMLODAR 10MG CAPSULES
انكسيتين,ANXETIN
اندوجيسك,INDOGESIC CAP 25MG
اوماثروسين,OMATHROCIN ORAL DROPS 100 MG- 2.5 ML
اومافين,OMAFEN 400 MG F.C TABLETS
ايرثرودار,ERYTHRODAR
اكترابيد,ACTRAPID NOVOLET 100 I.U
اكترابيد انسولين,ACTRAPID INSULIN HM 100 I.U.
انسولاتارد,INSULATARD HM 100 IU VIAL
انسوليتارد,INSULATARD HM 100 I.U NOVOLET
اكترابيد,ACTRAPID HM PENFILL CARTRAGE
انسولاتارد,INSULATARD HM 100 IU PENFILL
اميوريتيك,AMURETIC
ارثيرودار,ERYTHRODAR 400MG FORT TAB
اتيفان,ATIVAN TABLETS 1 MG
اتيفان,ATIVAN TABLETS 2 MG
ادفيل كولد,ADVIL COLD AND SINUS CAPLET
ادفيل للاطفال,CHILDRENS ADVIL 100MG\5ML SUSPENTION
ادفيل,ADVIL 200MG TAB
السيكلوفوسفاميد,CYCLOPHOSPHAMIDE 100MG VIAL
الديبريل,ELDEPRYL 5MG TABS
ايبانيوتين,EPANUTIN SUSP 30MG-5ML
ارتان,ARTANE 2 MG TAB
ارتان اقراص,ARTANE 5 MG TAB
ابانيوتن,EPANUTIN
افكسور,EFEXOR XR 150 MG CAPSULES
ايفكسور,EFEXOR XR 75 MG CAPSULES
انبريل,ENBREL 50MG PRE-FILLED SYRINGE
اكساناكس,XANAX TAB 0.25MG
اكزانيكس,XANAX TAB 0.5MG
اميجران,IMIGRAN 10 MG NASAL SPRAY
اميجران,IMIGRAN 20 MG NASAL SPRAY
اس او ال يو ميدرول,SOLU-MEDROL-INJ. 125 MG
ابوفيل,IBUPHIL 5% GEL
افونكس,AVONEX 30MCG LYOPHILIZED POWDER FOR INJ
ابروفيل,APROVEL 150MG TAB
ابروفل,APROVEL 300MG TAB
السيكيور,ULCICURE TAB 1 GM
اوفلاسين,OFLACIN 200MG TAB
افينتيل,AVENTYL CAPSULES 10 MG
افينتايل,AVENTYL CAPSULES 25 MG
اوتوسبورين,OTOSPORIN EAR DROPS
انتوكورت,ENTOCORT 20MCG-ML ENEMA AFTER RECONSTITU
الكويل,KWELL LOTION
السيمبالتا,CYMBALTA 60MG HARD GASTRO-RESISTANT CAP
الريفوتريل,RIVOTRIL 2.5MG-ML ORAL SOLUTION
الميتوتركسات,METHOTREXATE ROGER BELLON 500MG VIAL
ايبيفير,EPIVIR 10 MG \ ML ORAL SOLUTION
الجلوكاجون,GLUCAGON 10MG VIAL+SOLVENT
ايميوران,IMURAN 50MG VIAL
التاميفلو,TAMIFLU 12MG-ML ORAL SUSPENSION
اتاكاند 4,ATACAND 4 MG TAB
اتاكاند اقراص,ATACAND 8 MG TAB
اتاكاند بلس,ATACAND PLUS TABLET
انهيبيس اقراص,INHIBACE 2.5MG TAB
انهيبيس 5MG,INHIBACE 5MG TAB
اركوكسيا,ARCOXIA 120MG TAB
اركوكسيا 60MG,ARCOXIA 60MG TAB
ايزيترول,EZETROL
اينيجي,INEGY 20-10MG TABLETS
اينيجي اقراص,INEGY 40-10MG TABLET
انيجي,INEGY 80-10MG TABLETS
اوترينول,OTRINOL 120MG CAP
اكسيلون,EXELON 1.5 MG CAPS
ايكسيلون,EXELON 3MG CAPS
اكسيلون,EXELON 4.5 MG CAPS
اكسيلون,EXELON 6 MG CAPS
اليديل,ELIDEL 1% CREAM
استراكومب,ESTRACOMB TTS PATCHES
اكسجيد,EXJADE 125MG DISPERSIBLE TABLETS
ايكسجيد,EXJADE 250MG DISPERSIBLE TABLETS
اكسجيد اقراص,EXJADE 500MG DISPERSIBLE TABLETS
ايفيمولين,EFEMOLINE EYE DROPS 0.1%
انفيكتوفلام,INFECTOFLAM EYE DROPS
انفكتوفلام,INFECTOFLAM EYE OINT.
اقراص سيباسين,CIBACEN 20MG F.C.TAB
اكسفورج,EXFORGE 10 MG-160 MG F-C TABLETS
اكسفورج,EXFORGE 5MG-80MG F-C TABLETS
اكلاستا,ACLASTA 5MG-100ML SOLUTION FOR INFUSION
ارديا,AREDIA 15MG VIAL+SOLVENT
اريديا,AREDIA 30MG VIAL+SOLVENT
اكسيلون,EXELON 2MG-ML ORAL SOLUTION
انافرانيل,ANAFRANIL TAB 10MG
اقراص سيرتيكان,CERTICAN 0.25MG TABLETS
اسيدريكس,ESIDREX TAB. 25 MG
استراديرم,ESTRADERM MX-25
استرادرم,ESTRADERM MX-50
استراتيرا,STRATTERA 18MG CAPSULES
الريكورمون,RECORMON PFS 10000IU-0.6ML SOLU. FOR INJ
اميكين,AMIKIN AMP 100MG-2ML
اميكين امبولة,AMIKIN AMP 500MG-2ML
ايريوس,AERIUS 2.5 MG-5ML SYRUP
ايرياس,AERIUS 5MG TABLETS
اينابريل,ENAPRIL 10 MG TAB
ايفستا,EVISTA 60 MG F-C TABLETS
اوستيف,OSTEVE 35MG TABLETS
اوستيف اقراص,OSTEVE 70 MG TABLETS
اقراص سابوفين,SAPOFEN 400MG TAB
اوميز,OMIZ 10MG CAP
اوميز,OMIZ 20MG CAP
اورثوكام,ORTHOCAM 0.5% GEL
ايزيلاكس,EZILAX 10GM POWDER SACHET
ايزيلاكس,EZILAX 10G-15ML SYRUP
اورثوكام,ORTHOCAM 20 CAPS
اوراتاب,ORATAB 100MG F.C TABLETS
اوراتاب,ORATAB 100MG F.C. TABLETS
ابتول,EPTOL 100MG-5ML ORAL SUSPENSION
افولين,AVOLEN 60MG-5ML SYRUP
ايبتول,EPTOL 200 MG TAB
اوميبركس,OMEPREX 20MG CAP
املوبريس,AMLOPRESS 5MG CAPSULES
ازوماكس,AZOMAX 250MG CAPSULE
اترازول,ITRAZOL 100MG CAPSULES
اولميتك,OLMETEC 20MG F.C. TABLETS
اولميتيك,OLMETEC 40MG F.C. TABLETS
اولميتك,OLMETEC PLUS 20MG-12.5MG F.C. TABLETS
اولميتك بلس,OLMETEC PLUS 40MG-12.5MG F.C. TABLETS
اولميتك بلس,OLMETEC PLUS 40MG-25MG F.C. TABLETS
اومنك,OMNIC OCAS 0.4 MG F-C TABLETS
اومنك,OMNIC 0.4MG MODFIED RELEASE CAPSULE
اوستيودينز,OSTEODENS 70MG TABLETS
اليوتوبار,YUTOPAR 10MG TABLET
ادينوكور,ADENOCOR 6MG-2ML VIAL
البلاكوينيل,PLAQUENIL 200MG TAB
اﺑﻴﻮرول,APUROL 100MG TAB
اوربينين,ORBENIN 500MG VIAL
الليرجتين,ALLERGETIN SYRUP
ازولفين,EZOLVIN 4MG\5ML SYRUP
الفيموستون,FEMOSTON 1-5 TABLET
اينتابرو,ENTAPRO 10MG FILM COATED TABLETS
انتابرو,ENTAPRO 20MG FILM COATED TABLETS
انتابرو,ENTAPRO 5 MG FILM COATED TABLETS
اندوكسان,ENDOXAN. VIAL 500 MG
الاندوكسان,ENDOXAN. VIAL 1 GM.
ايندوكسان,ENDOXAN. VIAL 200 MG
اسيتاب,ACETAB 50 MG TABLETS
اي-بروفين,I-PROFEN 400MG TABLET
ايزوتريكس,ISOTREX GEL 0.05%
ازابرين,AZAPRIN
اي. ان. اتش,I.N.H
الكيبرا,KEPPRA 1000MG F.C.TAB
اورجالوتران,ORGALUTRAN 0.25MG\0.5ML SYRINGE
افينيتور,AFINITOR 5 MG TABLET
اسيكلين,ACICLIN 5% CREAM
انيماكورت,ENEMACORT 0.02MG-ML TABLET FOR ENEMA
ايبراماكس,IPRAMAX
امبيبلاس,AMPIPLUS 1.5GM POWDER FOR INGECTION
امبيسلين,AMPICILLIN 1GM POWDER FOR IV AND IM INJECTION
امبيسيلين,AMPICILLIN 500MG POWDER FOR IV AND IM INJECTION
الانتان,Elantan
ابريسازيد,Apresazide
الفاكورت,Alfacort
اتراكس,Atarax
اونكوفين,Oncovin
ايزوبتين,Isoptin
اتريكي,Aterkey
اوفيد,Ovide
اساكول,Asacol
ابيكروم,Apicrom
ادول,Adol
اسكاريل,Ascarel
ايتومين,Etumine
افانديا,Avandia
اكتونيل,Actonel
اميريج,Amerge
ارميديكس,Arimidex
استيلين,Astelin
ايموفيت,Eumovate
اورينيز,Orinase
افاستين,Avastin
اماريل,AMARYL
اربيتوكس,Erbitux
اينيسثيتيك,Anesthetic
انسبرا,Inspra
اميفايف,Amevive
امند,Emend
الوكسي,Aloxi
اجريلين,Agrylin
اورثو - جينيست,Ortho-Gynest
ازيليكت,Azilect
ارجازان,Irgazan
اكسيل,Ixel
افلوسولفون,Avlosulfon
ایسنترس,Isentress
ايمتريفا,Emtriva
الوميد,Alomide
ارانون,Arranon
اتريانس,Atriance
ابوكين,Apokyn
